Policy_Scenario,LCP_scenario,sector,Cum_Land_Mha,Cum_CDR_GtCO2PerYr
Low-Bioenergy,No-LCP,Land-based (CCS) BECCS,114.2615180934328,-1.3356846504738968
Low-Bioenergy,10%-LCP,Land-based (CCS) BECCS,96.45332278950205,-1.1037956557710673
Low-Bioenergy,100%-LCP,Land-based (CCS) BECCS,72.77177808678047,-0.8088907830372217
Low-Bioenergy,50%-LCP,Land-based (CCS) BECCS,78.5528638951813,-0.8772279784749758
2C Main,No-LCP,Land-based (CCS) BECCS,381.10647479490035,-4.405048853935681
1.5C,No-LCP,Land-based (CCS) BECCS,470.94325458810863,-6.055068560901548
1.5C,10%-LCP,Land-based (CCS) BECCS,428.57154352839416,-5.546837885361502
A/R-Focused,10%-LCP,Land-based (CCS) BECCS,346.9482917400573,-4.0036456830152884
2C Main,10%-LCP,Land-based (CCS) BECCS,340.4342393841283,-3.960559434022196
1.5C,100%-LCP,Land-based (CCS) BECCS,300.3108484486316,-3.9138890544995264
A/R-Focused,100%-LCP,Land-based (CCS) BECCS,246.84677619036705,-2.782569810259343
2C Main,100%-LCP,Land-based (CCS) BECCS,222.95253258537664,-2.6245073737140983
1.5C,50%-LCP,Land-based (CCS) BECCS,348.9373758733241,-4.53879811661629
A/R-Focused,50%-LCP,Land-based (CCS) BECCS,284.46391926323673,-3.2478709757243664
2C Main,50%-LCP,Land-based (CCS) BECCS,267.02894943459444,-3.1330347030939723
Low-Bioenergy,No-LCP,Land-based (NonCCS) BECCS,33.17913621637227,0
Low-Bioenergy,10%-LCP,Land-based (NonCCS) BECCS,37.403978958325766,0
Low-Bioenergy,100%-LCP,Land-based (NonCCS) BECCS,37.128580984760106,0
Low-Bioenergy,50%-LCP,Land-based (NonCCS) BECCS,38.5374454124149,0
2C Main,No-LCP,Land-based (NonCCS) BECCS,94.48300318708249,0
1.5C,No-LCP,Land-based (NonCCS) BECCS,47.98240445784256,0
1.5C,10%-LCP,Land-based (NonCCS) BECCS,50.34109772048464,0
A/R-Focused,10%-LCP,Land-based (NonCCS) BECCS,97.15224625938617,0
2C Main,10%-LCP,Land-based (NonCCS) BECCS,93.9774790324418,0
1.5C,100%-LCP,Land-based (NonCCS) BECCS,44.10548673477524,0
A/R-Focused,100%-LCP,Land-based (NonCCS) BECCS,97.42432931975088,0
2C Main,100%-LCP,Land-based (NonCCS) BECCS,79.42648326481944,0
1.5C,50%-LCP,Land-based (NonCCS) BECCS,48.64242663930105,0
A/R-Focused,50%-LCP,Land-based (NonCCS) BECCS,99.02332847571648,0
2C Main,50%-LCP,Land-based (NonCCS) BECCS,87.41965955652336,0
Low-Bioenergy,No-LCP,NonLand-based BECCS,0,-1.5402961034588258
Low-Bioenergy,10%-LCP,NonLand-based BECCS,0,-1.5461613519847213
Low-Bioenergy,100%-LCP,NonLand-based BECCS,0,-1.5463612865518783
Low-Bioenergy,50%-LCP,NonLand-based BECCS,0,-1.5580519147814664
2C Main,No-LCP,NonLand-based BECCS,0,-2.2408130795174506
1.5C,No-LCP,NonLand-based BECCS,0,-3.2636867881336733
1.5C,10%-LCP,NonLand-based BECCS,0,-3.130989465134874
A/R-Focused,10%-LCP,NonLand-based BECCS,0,-2.089839582788491
2C Main,10%-LCP,NonLand-based BECCS,0,-2.1087291332382883
1.5C,100%-LCP,NonLand-based BECCS,0,-2.785308295830139
A/R-Focused,100%-LCP,NonLand-based BECCS,0,-1.7053021771722394
2C Main,100%-LCP,NonLand-based BECCS,0,-1.79549377020682
1.5C,50%-LCP,NonLand-based BECCS,0,-2.9122095707371063
A/R-Focused,50%-LCP,NonLand-based BECCS,0,-1.8357133508186736
2C Main,50%-LCP,NonLand-based BECCS,0,-1.8990611512914
Low-Bioenergy,No-LCP,LULUCF,-122.99211097434466,1.5825194919675198
Low-Bioenergy,10%-LCP,LULUCF,24.598836539312117,-0.23496388803675752
Low-Bioenergy,100%-LCP,LULUCF,299.35494565861916,-2.874866382853876
Low-Bioenergy,50%-LCP,LULUCF,209.20863874802944,-2.081602100580711
2C Main,No-LCP,LULUCF,-247.41919763690763,2.8099409040204053
1.5C,No-LCP,LULUCF,-268.11368345210883,2.6458733309922033
1.5C,10%-LCP,LULUCF,-127.74418800139425,1.3051560280267187
A/R-Focused,10%-LCP,LULUCF,-114.85799986254594,1.4165110699135453
2C Main,10%-LCP,LULUCF,-129.55239093885575,1.5071600029766599
1.5C,100%-LCP,LULUCF,231.9552131736555,-2.0301239051113575
A/R-Focused,100%-LCP,LULUCF,348.00163307201143,-2.709621037393138
2C Main,100%-LCP,LULUCF,197.78105167624258,-1.8948553171245508
1.5C,50%-LCP,LULUCF,111.99076734383064,-0.8871822720336108
A/R-Focused,50%-LCP,LULUCF,162.8612951706923,-1.1915573930998495
2C Main,50%-LCP,LULUCF,82.75015768667014,-0.7179818999786894
